year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,3,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",135.00,12.00,4.21,1.93,3.25,0.83,1.78,0.00,1.00,513.00,124.00,180.00,107.00,25.00,77.00
2022,3,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",79.00,10.00,4.03,0.76,2.05,0.00,3.16,0.00,0.00,896.00,294.00,231.00,53.00,0.00,318.00
2022,3,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",79.00,15.00,5.36,0.37,6.20,0.00,3.07,0.00,0.00,830.00,416.00,59.00,202.00,0.00,153.00
2022,3,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",147.00,12.00,3.92,1.00,2.63,0.00,4.45,0.00,0.00,533.00,140.00,75.00,139.00,0.00,179.00
2022,3,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",92.00,21.00,2.72,0.98,5.01,0.00,12.29,4.00,0.00,1506.00,177.00,72.00,239.00,0.00,1018.00
2022,3,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2985.00,468.00,117.44,24.84,125.14,0.00,200.59,0.00,5.00,42692.00,12970.00,3866.00,4751.00,0.00,21105.00
2022,3,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",140.00,26.00,11.53,0.88,10.13,0.00,3.46,0.00,0.00,1137.00,650.00,37.00,232.00,0.00,218.00
2022,3,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",58.00,2.00,0.74,0.00,0.26,0.00,1.00,0.00,0.00,110.00,70.00,0.00,25.00,0.00,15.00
2022,3,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",47.00,6.00,0.13,0.00,2.86,0.00,3.02,4.00,0.00,423.00,18.00,0.00,189.00,0.00,216.00
2022,3,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",90.00,14.00,2.77,1.57,2.81,0.00,6.85,0.00,0.00,676.00,108.00,90.00,100.00,0.00,378.00
2022,3,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",31.00,3.00,0.00,1.85,1.15,0.00,0.00,0.00,0.00,556.00,0.00,516.00,40.00,0.00,0.00
2022,3,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",85.00,16.00,5.03,0.26,1.73,0.00,8.98,4.00,0.00,1335.00,527.00,11.00,136.00,0.00,661.00
2022,3,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",50.00,14.00,5.63,0.00,2.96,0.00,5.41,3.00,1.00,734.00,224.00,0.00,112.00,0.00,398.00
2022,3,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",24.00,4.00,2.28,0.00,1.15,0.00,0.57,0.00,0.00,292.00,231.00,0.00,28.00,0.00,33.00
2022,3,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",70.00,7.00,4.00,0.02,1.00,0.00,1.98,0.00,0.00,333.00,233.00,1.00,16.00,0.00,83.00
2022,3,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",131.00,17.00,3.33,0.70,9.45,0.00,3.52,2.00,0.00,1035.00,254.00,54.00,303.00,0.00,424.00
2022,3,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",215.00,34.00,11.22,0.05,11.44,0.00,11.30,0.00,2.00,2928.00,1566.00,2.00,500.00,0.00,860.00
2022,3,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",62.00,7.00,3.47,0.55,1.35,0.00,1.62,0.00,0.00,1113.00,227.00,427.00,46.00,0.00,413.00
2022,3,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",46.00,8.00,2.92,0.00,4.08,0.00,1.00,0.00,1.00,269.00,113.00,0.00,84.00,0.00,72.00
